year,importer1,importer2,flow2,flow1,category
2010,Argentina,China,14.350,4494.074,vegetables
2010,Argentina,Germany,12.161,125.198,vegetables
2010,Argentina,Japan,0.834,257.954,vegetables
2010,Argentina,UK,2.093,128.818,vegetables
2010,Argentina,Italy,10.432,240.052,vegetables
2010,Argentina,Russia,0.113,246.933,vegetables
2010,Argentina,India,9.501,1190.270,vegetables
2010,Argentina,Rest of the World,286.855,7734.226,vegetables
2010,Malaysia,Spain,3.734,82.972,vegetables
2010,Malaysia,France,21.074,25.924,vegetables
2010,Malaysia,China,798.806,2997.655,vegetables
2010,Malaysia,Germany,19.892,255.417,vegetables
2010,Malaysia,Japan,12.546,852.979,vegetables
2010,Malaysia,UK,8.060,129.396,vegetables
2010,Malaysia,Italy,7.223,142.225,vegetables
