year,importer1,importer2,flow2,flow1,category
2008,China,Russia,306.832,1387.899,all
2008,China,Rest of the World,16969.038,18183.049,all
2008,Spain,Argentina,2422.568,17.118,all
2008,Spain,Italy,1616.313,4542.508,all
2008,Spain,Japan,13.741,501.772,all
2008,Spain,UK,2162.082,3538.255,all
2008,Spain,Russia,113.700,751.773,all
2008,Spain,Rest of the World,14758.696,14098.671,all
2008,Argentina,Italy,24.745,1431.859,all
2008,Argentina,Japan,1.075,243.374,all
2008,Argentina,UK,24.849,742.884,all
2008,Argentina,Russia,0.086,898.565,all
2008,Argentina,Rest of the World,1725.216,18536.033,all
2008,Italy,Japan,17.041,829.939,all
2008,Italy,UK,1026.445,3415.993,all
2008,Italy,Russia,299.674,675.134,all
2008,Italy,Rest of the World,16709.896,13659.093,all
2008,Japan,UK,358.998,49.692,all
2008,Japan,Russia,624.375,45.751,all
2008,Japan,Rest of the World,25163.479,2402.581,all
2008,UK,Russia,88.820,344.158,all
2008,UK,Rest of the World,24358.605,12937.366,all
2008,Russia,Rest of the World,18694.675,9857.932,all
2008,Rest of the World,Rest of the World,236235.809,236235.809,all
2009,USA,Netherlands,2120.068,1376.895,all
2009,USA,Germany,1334.419,1754.247,all
2009,USA,Brazil,2638.270,326.997,all
2009,USA,France,2941.554,821.563,all
2009,USA,China,4972.483,12220.307,all
2009,USA,Spain,1162.090,973.009,all
2009,USA,Canada,17461.855,15685.364,all
2009,USA,Italy,3098.163,786.214,all
2009,USA,Argentina,995.849,91.048,all
2009,USA,Japan,718.872,13134.376,all
2009,USA,UK,1878.103,1390.473,all
2009,USA,Russia,272.662,1690.312,all
2009,USA,Rest of the World,49039.076,47076.684,all
2009,Netherlands,Germany,8559.809,15783.151,all
2009,Netherlands,Brazil,4071.327,110.573,all
2009,Netherlands,France,3937.162,7351.151,all
2009,Netherlands,China,896.310,548.360,all
2009,Netherlands,Spain,1638.619,2689.363,all
2009,Netherlands,Canada,175.745,279.190,all
2009,Netherlands,Italy,1068.794,4472.202,all
2009,Netherlands,Argentina,1739.601,19.761,all
2009,Netherlands,Japan,49.708,852.586,all
2009,Netherlands,UK,1441.309,7550.492,all
2009,Netherlands,Russia,60.434,1392.578,all
2009,Netherlands,Rest of the World,16329.687,19592.497,all
2009,Germany,Brazil,3066.878,168.894,all
2009,Germany,France,7548.396,6405.837,all
2009,Germany,China,1635.256,183.952,all
2009,Germany,Spain,4241.612,2976.037,all
2009,Germany,Canada,244.423,237.955,all
2009,Germany,Italy,6454.468,6952.011,all
2009,Germany,Argentina,781.415,18.914,all
2009,Germany,Japan,45.424,623.556,all
2009,Germany,UK,1296.828,4457.824,all
2009,Germany,Russia,196.060,1819.011,all
2009,Germany,Rest of the World,29405.828,28488.062,all
2009,Brazil,France,122.041,1564.472,all
2009,Brazil,China,228.341,7364.682,all
2009,Brazil,Spain,122.476,1520.418,all
2009,Brazil,Canada,131.748,616.020,all
2009,Brazil,Italy,119.470,1150.339,all
2009,Brazil,Argentina,2347.337,458.990,all
2009,Brazil,Japan,8.182,1675.102,all
2009,Brazil,UK,125.586,1332.114,all
2009,Brazil,Russia,0.681,3027.283,all
2009,Brazil,Rest of the World,2999.380,26103.428,all
2009,France,China,607.125,865.016,all
2009,France,Spain,6681.150,5178.772,all
2009,France,Canada,192.708,629.408,all
2009,France,Italy,4189.548,6542.642,all
2009,France,Argentina,370.894,18.037,all
2009,France,Japan,50.462,1392.904,all
2009,France,UK,2885.782,6040.952,all
2009,France,Russia,73.134,820.547,all
2009,France,Rest of the World,13852.884,17729.296,all
2009,China,Spain,147.563,608.464,all
2009,China,Canada,2316.714,806.066,all
2009,China,Italy,133.775,419.824,all
2009,China,Argentina,3049.161,28.976,all
2009,China,Japan,442.312,7314.557,all
2009,China,UK,171.277,668.477,all
2009,China,Russia,802.441,1152.520,all
2009,China,Rest of the World,17334.145,17922.705,all
2009,Spain,Canada,201.396,170.314,all
2009,Spain,Italy,1466.442,4005.300,all
2009,Spain,Argentina,1369.034,18.373,all
2009,Spain,Japan,10.404,364.952,all
2009,Spain,UK,1825.492,3119.309,all
2009,Spain,Russia,113.148,613.780,all
2009,Spain,Rest of the World,12841.606,12423.749,all
2009,Canada,Italy,675.923,400.506,all
2009,Canada,Argentina,171.908,10.831,all
2009,Canada,Japan,63.043,3104.131,all
2009,Canada,UK,381.149,439.342,all
2009,Canada,Russia,46.333,243.677,all
2009,Canada,Rest of the World,5593.283,9606.103,all
2009,Italy,Argentina,1203.084,22.909,all
2009,Italy,Japan,16.292,761.024,all
2009,Italy,UK,850.980,3143.668,all
2009,Italy,Russia,212.653,504.277,all
2009,Italy,Rest of the World,15397.247,12012.417,all
2009,Argentina,Japan,1.187,271.620,all
2009,Argentina,UK,22.841,755.100,all
2009,Argentina,Russia,0.039,799.431,all
2009,Argentina,Rest of the World,864.598,14520.056,all
2009,Japan,UK,285.274,43.226,all
2009,Japan,Russia,698.035,41.178,all
2009,Japan,Rest of the World,22975.452,2304.186,all
2009,UK,Russia,94.041,266.413,all
2009,UK,Rest of the World,21635.392,11698.610,all
2009,Russia,Rest of the World,16058.382,9455.091,all
2009,Rest of the World,Rest of the World,209648.798,209648.798,all
2010,USA,Netherlands,2313.905,1714.942,all
2010,USA,Germany,1504.390,1846.652,all
2010,USA,Brazil,3095.822,515.007,all
2010,USA,France,2980.777,987.151,all
2010,USA,China,5877.191,15272.357,all
2010,USA,Canada,19334.514,17022.245,all
2010,USA,Spain,1316.192,1313.698,all
2010,USA,Italy,3220.986,768.776,all
2010,USA,Argentina,1097.953,118.764,all
2010,USA,Japan,746.695,13824.145,all
2010,USA,UK,2089.663,1615.929,all
2010,USA,Russia,263.649,1331.703,all
2010,USA,Rest of the World,54845.500,56380.856,all
2010,Netherlands,Germany,9005.015,16594.599,all
2010,Netherlands,Brazil,3957.687,157.794,all
2010,Netherlands,France,4088.863,7160.985,all
2010,Netherlands,China,963.351,633.358,all
2010,Netherlands,Canada,312.084,292.206,all
2010,Netherlands,Spain,1714.956,2701.828,all
2010,Netherlands,Italy,1233.621,4647.022,all
2010,Netherlands,Argentina,1798.170,23.770,all
2010,Netherlands,Japan,60.710,932.044,all
2010,Netherlands,UK,1631.240,7850.458,all
2010,Netherlands,Russia,143.893,1741.678,all
2010,Netherlands,Rest of the World,17142.222,21924.383,all
2010,Germany,Brazil,2999.836,193.446,all
2010,Germany,France,7293.097,6394.622,all
2010,Germany,China,1781.067,287.145,all
2010,Germany,Canada,342.054,280.422,all
2010,Germany,Spain,4395.108,3014.317,all
2010,Germany,Italy,6569.841,7154.614,all
2010,Germany,Argentina,760.019,22.906,all
2010,Germany,Japan,49.837,591.880,all
2010,Germany,UK,1615.164,4845.481,all
2010,Germany,Russia,170.259,2315.488,all
2010,Germany,Rest of the World,30959.655,30924.215,all
2010,Brazil,France,180.448,1320.405,all
2010,Brazil,China,468.796,9236.816,all
2010,Brazil,Canada,151.465,713.469,all
2010,Brazil,Spain,156.088,1650.258,all
2010,Brazil,Italy,146.146,1067.916,all
2010,Brazil,Argentina,2941.259,609.297,all
2010,Brazil,Japan,13.404,2206.452,all
2010,Brazil,UK,124.461,1412.433,all
2010,Brazil,Russia,6.525,4010.521,all
2010,Brazil,Rest of the World,3639.930,30082.628,all
2010,France,China,659.669,1215.134,all
2010,France,Canada,213.201,709.595,all
2010,France,Spain,6966.398,5183.169,all
2010,France,Italy,4227.613,6982.037,all
2010,France,Argentina,427.179,21.794,all
2010,France,Japan,63.546,1465.595,all
2010,France,UK,2899.232,6199.736,all
2010,France,Russia,112.761,1016.787,all
2010,France,Rest of the World,14575.059,19905.851,all
2010,China,Canada,2768.117,914.677,all
2010,China,Spain,265.733,775.139,all
2010,China,Italy,193.608,462.392,all
2010,China,Argentina,4769.174,45.776,all
2010,China,Japan,574.914,8648.270,all
2010,China,UK,204.979,839.381,all
2010,China,Russia,1026.145,1382.397,all
2010,China,Rest of the World,22249.882,21510.094,all
2010,Canada,Spain,190.616,182.430,all
2010,Canada,Italy,777.724,379.777,all
2010,Canada,Argentina,207.024,9.332,all
2010,Canada,Japan,69.209,3471.767,all
2010,Canada,UK,418.527,455.630,all
2010,Canada,Russia,34.779,371.634,all
2010,Canada,Rest of the World,6538.772,10370.523,all
2010,Spain,Italy,1451.671,4560.139,all
2010,Spain,Argentina,1364.605,26.703,all
2010,Spain,Japan,12.628,412.513,all
2010,Spain,UK,1864.376,3245.301,all
2010,Spain,Russia,63.241,861.197,all
2010,Spain,Rest of the World,12742.850,13410.339,all
2010,Italy,Argentina,1213.443,27.355,all
2010,Italy,Japan,17.833,743.006,all
2010,Italy,UK,828.105,3184.084,all
2010,Italy,Russia,199.820,712.541,all
2010,Italy,Rest of the World,16270.300,12555.618,all
2010,Argentina,Japan,1.274,476.269,all
2010,Argentina,UK,23.141,738.485,all
2010,Argentina,Russia,0.149,622.389,all
2010,Argentina,Rest of the World,700.694,18573.408,all
2010,Japan,UK,334.823,51.284,all
2010,Japan,Russia,633.647,81.518,all
2010,Japan,Rest of the World,25755.579,2772.226,all
2010,UK,Russia,125.479,338.280,all
2010,UK,Rest of the World,22722.906,12983.286,all
